code,name,lat,lon,r_month,kappa
A315,BARBALHA,-7.30083333,-39.2711111,0.17899900723161466,0.41050049638419267
A319,IGUATU,-6.39638888,-39.26888888,0.730258497706702,0.13487075114664898
A358,JAGUARIBE,-5.90555555,-38.62777777,0.47478474652689967,0.26260762673655014
A339,JAGUARUANA,-4.83777777,-37.69972221,0.9270098282908397,0.03649508585458017
A332,MORADA NOVA,-5.0911111,-38.36472222,0.7057785617245228,0.1471107191377386
A369,QUIXADA,-4.97888888,-39.05722222,,
A325,QUIXERAMOBIM,-5.17444443,-39.28944444,0.9182315687042988,0.04088421564785061
A310,AREIA,-6.97555554,-35.71805554,0.16295987059069186,0.4185200647046541
A348,CABACEIRAS,-7.48333333,-36.28638888,0.8680638207820108,0.06596808960899458
A352,CAMARATUBA,-6.56194444,-35.13527777,0.29841971323323657,0.3507901433833817
A313,CAMPINA GRANDE,-7.22555554,-35.90472222,0.9474184996825458,0.026290750158727116
A373,ITAPORANGA,-7.31833332,-38.14083333,0.7170189564793766,0.14149052176031168
A320,JOAO PESSOA,-7.14083333,-34.85083333,0.138315159635139,0.4308424201824305
A334,MONTEIRO,-7.88277777,-37.12749999,0.8155108595201901,0.09224457023990495
A321,PATOS,-7.07972221,-37.27277777,0.3499129339671995,0.3250435330164002
A333,SAO GONCALO,-6.83583333,-38.31166666,0.44418378529276065,0.2779081073536197
A309,ARCO VERDE,-8.4336111,-37.05555555,0.3555340180431555,0.3222329909784223
A329,CABROBO,-8.50388888,-39.31527777,0.11433991553909637,0.4428300422304518
A341,CARUARU,-8.35611111,-36.02833332,0.27718153690249214,0.36140923154875393
A351,FLORESTA,-8.59888888,-38.58416666,0.34134185324646016,0.3293290733767699
A322,GARANHUNS,-8.91083333,-36.49333333,0.9294277850754311,0.035286107462284444
A349,IBIMIRIM,-8.50944444,-37.71166666,-0.2054241280190158,0.6027120640095079
A366,OURICURI,-7.88583333,-40.10277777,0.41921288555328023,0.2903935572233599
A357,PALMARES,-8.66666666,-35.56805554,0.4363536674904391,0.28182316625478043
A301,RECIFE,-8.01888888,-34.94416666,0.8106527684873306,0.0946736157563347
A370,SALGUEIRO,-8.05805555,-39.0961111,0.33535613567812683,0.3323219321609366
A350,SERRA TALHADA,-7.95416666,-38.29499999,0.06441628169161857,0.4677918591541907
A328,SURUBIM,-7.84249999,-35.79027777,0.7917171731395626,0.10414141343021871
A340,APODI,-5.62666666,-37.815,0.8051331008860094,0.09743344955699529
A316,CAICO,-6.46749999,-37.08499999,0.2962443043066175,0.35187784784669124
A344,CALCANHAR,-5.16,-35.48749999,0.8182823737837033,0.09085881310814836
A372,IPANGUACU,-5.53499999,-36.87222221,0.19817249646423907,0.40091375176788047
A317,MACAU,-5.15111111,-36.57305554,0.7933343850510656,0.10333280747446721
A318,MOSSORO,-4.90416666,-37.36694443,0.920635495927425,0.0396822520362875
A304,NATAL,-5.83722221,-35.20805555,0.5438819362117214,0.22805903189413929
A367,SANTA CRUZ,-6.22805554,-36.02666666,0.6088411590116275,0.19557942049418625
