code,name,uf,lat,lon,WIND_SPEED,SOLAR_IRRAD,n_wind,n_days_solar,elev,dist_coast
A315,BARBALHA,CE,-7.30083333,-39.2711111,1.7669927594818446,5.825382358239877,111318,4934,408.0,456.9355111617393
A319,IGUATU,CE,-6.39638888,-39.26888888,2.518913722662821,4.467006978148795,116508,5151,221.0,455.6913379408426
A358,JAGUARIBE,CE,-5.90555555,-38.62777777,2.7823796958211395,5.605990073066264,104215,4410,153.0,391.1598074674959
A339,JAGUARUANA,CE,-4.83777777,-37.69972221,2.581883547995964,5.773359590310483,117937,5096,39.0,339.87915512370245
A332,MORADA NOVA,CE,-5.0911111,-38.36472222,2.402916959213634,5.054088087109456,125336,5370,94.0,390.5181191592609
A369,QUIXADA,CE,-4.97888888,-39.05722222,2.03219952660647,5.57942289955325,11407,771,190.0,465.7225755869828
A325,QUIXERAMOBIM,CE,-5.17444443,-39.28944444,2.218152175876583,5.20830721533884,110714,5004,214.0,482.3436544857691
A310,AREIA,PB,-6.97555554,-35.71805554,4.0111896732017085,4.185091306539484,144401,5731,579.0,78.60913665327811
A348,CABACEIRAS,PB,-7.48333333,-36.28638888,2.751548166095747,5.53285347097745,119690,5021,401.0,127.53239594669303
A352,CAMARATUBA,PB,-6.56194444,-35.13527777,2.345613674410409,5.243994507038655,102147,4349,135.0,1.5403886500959685
A313,CAMPINA GRANDE,PB,-7.22555554,-35.90472222,3.2963638501332504,5.250004905731077,127580,5634,549.0,87.1037483235015
A373,ITAPORANGA,PB,-7.31833332,-38.14083333,2.1207533632287,6.117756118881118,16725,858,290.0,332.0952670491075
A320,JOAO PESSOA,PB,-7.14083333,-34.85083333,2.1167638258591994,5.463500745228136,109957,4622,44.0,3.461725534510513
A334,MONTEIRO,PB,-7.89444444,-37.12472221,2.907853507031317,6.003389931402598,115910,5329,606.0,226.5442920009379
A321,PATOS,PB,-7.07972221,-37.27277777,3.1798262371444266,5.960952630289669,114639,5443,254.0,238.70065627748463
A333,SAO GONCALO,PB,-6.83583333,-38.31166666,1.7715452088962789,6.1908223785659215,120275,5188,236.0,351.043041054772
A309,ARCO VERDE,PE,-8.4336111,-37.05555555,3.340378113207548,5.28229058001619,132500,6314,680.0,241.1179832958499
A329,CABROBO,PE,-8.50388888,-39.31527777,2.822405654687713,5.826035978935098,124357,5338,344.0,477.6423411554538
A341,CARUARU,PE,-8.35611111,-36.02833332,3.0647959276594965,5.2356870610003305,109814,4714,840.0,144.87019945675056
A351,FLORESTA,PE,-8.59888888,-38.58416666,3.0803263407482486,5.388774464776941,110498,4645,327.0,403.4664769620519
A322,GARANHUNS,PE,-8.91083333,-36.49333333,2.33416400149358,5.146736061084781,123194,5275,833.0,224.7965870104897
A349,IBIMIRIM,PE,-8.50944444,-37.71166666,2.946016186307705,5.858979256360078,121090,5110,434.0,310.03727821889163
A366,OURICURI,PE,-7.88583333,-40.10277777,3.067646180012871,5.575158751566672,87016,4078,459.0,551.321453069566
A357,PALMARES,PE,-8.66666666,-35.56805554,2.104794159127323,4.174251343978709,104231,4175,162.0,141.59828349533103
A301,RECIFE,PE,-8.01888888,-34.94416666,1.668388774495882,5.831539288465242,112672,5770,8.0,52.66184276748656
A370,SALGUEIRO,PE,-8.05805555,-39.0961111,2.32430644019816,5.166674758002258,28260,1871,445.0,443.55253002845177
A350,SERRA TALHADA,PE,-7.95416666,-38.29499999,2.501172048174967,5.696529106970616,108272,4723,498.0,354.40780606514824
A328,SURUBIM,PE,-7.84249999,-35.79027777,3.151932978668811,5.547061349471686,116918,5384,418.0,87.56531371666664
A340,APODI,RN,-5.62666666,-37.815,2.7250710746129405,6.19707881305044,113613,4996,127.0,312.07180346831746
A316,CAICO,RN,-6.46749999,-37.08499999,3.0064707673568813,5.384622838295597,118224,5609,167.0,214.37710454821672
A344,CALCANHAR,RN,-5.16,-35.48749999,6.811232979103701,4.601219827327328,61542,3700,0.0,154.11531600393127
A372,IPANGUACU,RN,-5.53499999,-36.87222221,2.3682634922672143,4.341469777158774,31166,1795,18.0,221.40424197697777
A317,MACAU,RN,-5.15111111,-36.57305554,4.610263784658248,5.674677381831198,111265,4967,17.0,220.07542093902566
A318,MOSSORO,RN,-4.90416666,-37.36694443,3.4771397297570763,6.097859632741985,108717,4641,25.0,305.496841765625
A304,NATAL,RN,-5.83722221,-35.20805555,4.346608049666229,4.211487736136502,132726,6564,48.0,74.07945718640495
A367,SANTA CRUZ,RN,-6.22805554,-36.02666666,2.5634837789125866,5.285013079513079,79896,3432,227.0,103.69983677989349
