source,target,model,cv_rmse,test_rmse,test_mae,test_r2
nasa,WIND_SPEED,KNN,0.41644617616955404,0.5640564652003853,0.40317246229206044,0.5705951351463345
nasa,WIND_SPEED,DecisionTree,0.5208256923837714,0.6070667483717818,0.4414658246035209,0.502612704419979
nasa,WIND_SPEED,RandomForest,0.42028773878104986,0.3684570529319777,0.3212123536695522,0.8167704370532406
nasa,WIND_SPEED,AdaBoost,0.4368178271361643,0.3290227713609081,0.2912914063063533,0.8538920963122453
nasa,WIND_SPEED,MLP,0.47490423092559564,0.38898081804879,0.32019319099425825,0.7957894532389116
nasa,SOLAR_IRRAD,KNN,0.13673528833984672,0.13952979802686719,0.11095618786420051,0.36760105428104184
nasa,SOLAR_IRRAD,DecisionTree,0.10233783103859695,0.09466667316234098,0.06465195087055639,0.7088938126231167
nasa,SOLAR_IRRAD,RandomForest,0.09909637217415761,0.0737720740657726,0.06275242114847157,0.8232167176178498
nasa,SOLAR_IRRAD,AdaBoost,0.09033597151226172,0.05564867424928803,0.04763672777415464,0.8994072106842967
nasa,SOLAR_IRRAD,MLP,0.2726588424233066,0.2215047186448425,0.18071178681912517,-0.5937609098140371
inmet,WIND_SPEED,KNN,0.6773930419936776,1.2233030726871184,0.8140064926944512,0.16570952667572625
inmet,WIND_SPEED,DecisionTree,0.7964517190500623,1.0524630818183207,0.7641713531346732,0.3824631295545221
inmet,WIND_SPEED,RandomForest,0.7147022986651355,1.22334048483324,0.8092943302090733,0.16565849586401882
inmet,WIND_SPEED,AdaBoost,0.81142927993285,1.0887851750814699,0.7074877051234522,0.33910335225985777
inmet,WIND_SPEED,MLP,0.8030354836903317,0.9560013575144218,0.7860022414586546,0.4904742121252603
inmet,SOLAR_IRRAD,KNN,0.5752236034929352,0.5669218906110371,0.40520893754108694,-0.1863718884241623
inmet,SOLAR_IRRAD,DecisionTree,0.5513637713055238,0.49743161489908416,0.37999820456790023,0.08664173785469031
inmet,SOLAR_IRRAD,RandomForest,0.5310348069355613,0.5142975156076169,0.34256328353991805,0.0236551346764724
inmet,SOLAR_IRRAD,AdaBoost,0.5373288813323756,0.4898691096653898,0.3253883516521424,0.11420239304940982
inmet,SOLAR_IRRAD,MLP,0.7482508784146691,0.7641466897008587,0.6005350166254663,-1.1553999377120494
