name,IP_PB,WIND_SPEED,SOLAR_IRRAD
Frei Martinho,1.1351972387037188,5.883244537791815,5.929394970120055
Mataraca,1.120810056097695,5.852432539016733,5.92758143556814
Tenório,1.111245051294966,5.787132298500043,5.948539595511419
Nova Palmeira,1.1076410694764836,5.862148817358285,5.905821022815952
Baía da Traição,1.1007407634092152,5.785615021969476,5.936844384109351
São Vicente do Seridó,1.0985515894281592,5.829884303573873,5.911642144392565
Juazeirinho,1.0923562032265501,5.763178027175381,5.937787053968039
Junco do Seridó,1.0863290270801607,5.728063673720435,5.9473321083130415
Assunção,1.0729501529305443,5.715500023760772,5.937718916090213
São José do Sabugi,1.07149059639027,5.683801818736836,5.950549025170958
