name,IPH_norm,M_norm,kappa,rank_M
São José do Bonfim,1.0,0.7631992285175239,0.2457076422312042,1
Patos,0.9651408029547924,0.7297111659463513,0.2574587179842692,2
Santana dos Garrotes,0.9650468340066886,0.7136531472683685,0.2856278043344168,6
Piancó,0.9633700312624283,0.7137394890726441,0.28323872740541145,5
Santa Teresinha,0.9598578713611562,0.7258947978095172,0.2571505744646189,3
Pedra Branca,0.9591264357102713,0.708876610610151,0.2863503403002209,9
Nova Olinda,0.9520167944744498,0.7027521671225446,0.2879424801460196,12
São José de Princesa,0.9482539108573427,0.6642508207539285,0.35720857312281346,32
Emas,0.947613082087604,0.7105459984130448,0.2679230618725932,8
Olho d'Água,0.9440458380339298,0.7142441009237966,0.25660988362677767,4
