name,SOLAR_IRRAD,group,IP_PB
São José da Lagoa Tapada,6.0497589477631,Bad/Good,0.9916321851374087
Aguiar,6.044741898333379,Bad/Good,0.9868941986642108
Igaracy,6.041719056474344,Bad/Good,0.9897454861646782
Nazarezinho,6.039537302712481,Bad/Good,0.9793539833276895
Carrapateira,6.030135437695966,Bad/Good,0.9727000907853554
Olho d'Água,6.029164759822579,Bad/Good,1.0333263865885902
Itaporanga,6.0282503696013086,Bad/Good,0.9810505658351415
Coremas,6.027159073168131,Bad/Good,0.9891408039140624
Piancó,6.023742069282013,Bad/Good,0.9964160656196086
Lastro,6.022287634336005,Bad/Good,0.9789657169881993
